CustomerID,Recency,Frequency,Monetary
11000,423,8,22784.02
11001,202,11,22376.68
11002,492,4,11639.06
11003,416,9,24704.66
11004,425,6,16982.72
11005,424,6,16804.95
11006,412,5,14131.789999999999
11007,468,8,22318.6
11008,485,7,19295.64
11009,417,5,14152.46
11010,403,4,11581.6
11011,468,4,11681.04
11012,258,5,262.40999999999997
11013,160,5,334.69
11014,426,6,525.78
11015,528,3,8290.710000000001
11016,506,3,7731.48
11017,259,4,9670.15
11018,249,7,12430.32
11019,169,33,2051.6
11020,548,2,5120.5
11021,523,3,7863.030000000001
11022,526,2,5132.22
11023,167,6,526.38
11024,339,6,187.29
11025,248,6,13463.380000000001
11026,258,7,14284.73
11027,249,9,17863.74
11028,266,5,12364.02
11029,231,7,14249.93
11030,233,4,7981.02
11031,229,6,11396.42
11032,234,10,23947.8
11033,237,7,12316.54
11034,232,4,8052.84
11035,227,5,8800.16
11036,524,2,5204.5
11037,526,7,18364.64
11038,230,3,7113.23
11039,231,9,18062.66
11040,453,3,7793.43
11041,532,3,7891.23
11042,256,3,4314.639999999999
11043,316,3,67.35
11044,234,7,12460.220000000001
11045,244,4,270.6
11046,230,6,11779.779999999999
11047,223,4,9969.63
11048,187,8,18498.02
11049,244,5,262.40999999999997
11050,223,6,8281.5
11051,180,5,345.71000000000004
11052,399,7,19406.2
11053,529,2,5149.24
11054,396,6,17072.24
11055,388,8,22264.64
11056,395,8,22409.78
11057,405,4,11581.6
11058,391,6,17203.84
11059,471,7,400.87
11060,370,6,17074.56
11061,381,6,16838.95
11062,539,3,7796.73
11063,534,5,13110.5
11064,521,2,5094.0
11065,171,5,664.5600000000001
11066,284,5,226.27
11067,169,6,453.5
11068,265,9,425.40000000000003
11069,391,3,8954.95
11070,369,10,27412.16
11071,211,7,318.67999999999995
11072,380,7,19649.09
11073,313,10,750.99
11074,399,7,292.32
11075,371,5,14214.84
11076,374,4,11640.07
11077,383,5,14324.18
11078,153,31,1854.02
11079,180,5,114.78
11080,372,7,19737.57
11081,443,5,304.4
11082,236,6,8600.46
11083,234,5,11406.05
11084,221,5,7639.4400000000005
11085,173,5,367.83
11086,191,6,558.92
11087,325,4,442.6
11088,230,7,11426.39
11089,224,7,11493.25
11090,221,6,13485.78
11091,173,59,3128.7599999999998
11092,374,5,14193.76
